unit,e,gap,ratio
HU,-11,0.152564633715457,3.05979341200591
HU,-10,-0.0998241709487644,3.05979341200591
HU,-9,-0.892715097556732,3.05979341200591
HU,-8,-0.906298728404906,3.05979341200591
HU,-7,-1.07159840894698,3.05979341200591
HU,-6,1.04113594923335,3.05979341200591
HU,-5,2.30583494669072,3.05979341200591
HU,-4,-0.92195872066268,3.05979341200591
HU,-3,0.178850073029935,3.05979341200591
HU,-2,-0.393732804957079,3.05979341200591
HU,-1,1.68180822378851,3.05979341200591
HU,0,1.65483117270549,3.05979341200591
HU,1,-0.402563273780899,3.05979341200591
HU,2,2.91601625954041,3.05979341200591
HU,3,4.6334081298366,3.05979341200591
HU,4,2.5802919561403,3.05979341200591
HU,5,5.21493893026091,3.05979341200591
LU,-11,0.391365996106014,4.40041328755166
LU,-10,-0.709704848144142,4.40041328755166
LU,-9,-0.211859515226312,4.40041328755166
LU,-8,1.29022173314639,4.40041328755166
LU,-7,-2.73573267126218,4.40041328755166
LU,-6,0.931920537349374,4.40041328755166
LU,-5,0.0181455901406515,4.40041328755166
LU,-4,1.57807019216872,4.40041328755166
LU,-3,1.30569845742888,4.40041328755166
LU,-2,-0.83882295024368,4.40041328755166
LU,-1,-1.11533011695801,4.40041328755166
LU,0,-4.67965081361967,4.40041328755166
LU,1,-3.84894028622439,4.40041328755166
LU,2,-3.30487975023611,4.40041328755166
LU,3,-10.7288689504534,4.40041328755166
LU,4,-2.18972800286784,4.40041328755166
LU,5,3.24943974427766,4.40041328755166
NL,-11,-7.49885470234801e-05,517.728481226575
NL,-10,-0.000179374992393733,517.728481226575
NL,-9,-0.00161060042826122,517.728481226575
NL,-8,0.0021806236860602,517.728481226575
NL,-7,0.0011683161804168,517.728481226575
NL,-6,0.000814375303596293,517.728481226575
NL,-5,0.000891061180501751,517.728481226575
NL,-4,-0.00576369338634208,517.728481226575
NL,-3,0.00329614774996756,517.728481226575
NL,-2,0.0026889833014323,517.728481226575
NL,-1,-0.00356609252749429,517.728481226575
NL,0,0.949490563418779,517.728481226575
NL,1,1.03114458757435,517.728481226575
NL,2,-0.269428690063041,517.728481226575
NL,3,0.217945875673491,517.728481226575
NL,4,1.12543394685867,517.728481226575
NL,5,2.73916157001775,517.728481226575
PT,-11,0.00150815236372992,504.876546323751
PT,-10,-0.00314779618397409,504.876546323751
PT,-9,0.0265362870060581,504.876546323751
PT,-8,-0.0388896184283514,504.876546323751
PT,-7,-0.0143471465283467,504.876546323751
PT,-6,0.00170324043883063,504.876546323751
PT,-5,-0.0280270905697995,504.876546323751
PT,-4,0.0794046483743571,504.876546323751
PT,-3,-0.0447121195664266,504.876546323751
PT,-2,-0.0368262450401495,504.876546323751
PT,-1,0.0609928312841959,504.876546323751
PT,0,-13.8666239543035,504.876546323751
PT,1,-15.0393499048931,504.876546323751
PT,2,3.93653347634846,504.876546323751
PT,3,-3.16646134678125,504.876546323751
PT,4,-16.406494963993,504.876546323751
PT,5,-39.9417634199762,504.876546323751
SI,-11,-1.63217137030397,1.70288206851838
SI,-10,-2.51751388651071,1.70288206851838
SI,-9,-0.282859987570738,1.70288206851838
SI,-8,0.230060807704994,1.70288206851838
SI,-7,1.39530079793431,1.70288206851838
SI,-6,-0.234265065306275,1.70288206851838
SI,-5,0.290891343763509,1.70288206851838
SI,-4,2.12677016777757,1.70288206851838
SI,-3,0.210664647580902,1.70288206851838
SI,-2,2.43508624432075,1.70288206851838
SI,-1,-0.495398066647514,1.70288206851838
SI,0,0.424005656436854,1.70288206851838
SI,1,3.28697782884129,1.70288206851838
SI,2,-2.02673517072408,1.70288206851838
SI,3,-3.59912022753626,1.70288206851838
SI,4,-0.904804198367518,1.70288206851838
SI,5,-2.42412084660447,1.70288206851838
IE,-11,-0.715443391971782,2.24393632082684
IE,-10,-0.194813124231539,2.24393632082684
IE,-9,-1.2033219165677,2.24393632082684
IE,-8,0.472689063706836,2.24393632082684
IE,-7,1.28726286832933,2.24393632082684
IE,-6,-0.452798273190167,2.24393632082684
IE,-5,-0.163537757771735,2.24393632082684
IE,-4,1.08493548163193,2.24393632082684
IE,-3,-0.0970865985383114,2.24393632082684
IE,-2,-0.150899707842816,2.24393632082684
IE,-1,0.464997360494953,2.24393632082684
IE,0,0.0803717605602721,2.24393632082684
IE,1,0.140703716779273,2.24393632082684
IE,2,0.803921717684808,2.24393632082684
IE,3,1.83459726254935,2.24393632082684
IE,4,2.60929189991478,2.24393632082684
IE,5,2.08726898556391,2.24393632082684
